City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,karatuzskoye,53.6072,92.8667,15.21,39,10,1.34,RU,1715081506
318,sidi ifni,29.3797,-10.173,24.86,63,95,3.37,MA,1715081507
319,suntar,62.1444,117.6319,2.7,82,70,3.74,RU,1715081507
320,palmas,-10.2128,-48.3603,27.93,74,0,2.06,BR,1715081344
321,severo-yeniseyskiy,60.3725,93.0408,-0.24,88,93,4.92,RU,1715081507
322,bardai,11.65,7.2333,33.09,36,97,2.09,NG,1715081507
323,buala,-8.145,159.5921,26.68,82,96,1.74,SB,1715081507
324,pameungpeuk,-7.0183,107.6039,23.65,83,12,0.96,ID,1715081508
325,usogorsk,63.4106,48.6872,-1.3,58,65,3.48,RU,1715081508
326,puerto deseado,-47.7503,-65.8938,3.38,61,100,2.45,AR,1715081508
327,abdulino,53.7,53.6667,11.21,66,100,5.3,RU,1715081508
328,nadym,65.5333,72.5167,-2.24,83,99,8.01,RU,1715081508
329,binbrook,43.121,-79.804,11.12,68,20,3.6,CA,1715081508
330,amahai,-3.3333,128.9167,26.11,88,100,1.04,ID,1715081508
331,balsas,-7.5325,-46.0356,28.1,51,90,4.19,BR,1715081509
332,de aar,-30.6497,24.0123,26.34,17,0,8.33,ZA,1715081509
333,muheza,-5.1667,38.7833,26.25,85,98,4.89,TZ,1715081509
334,nicoya,10.1483,-85.452,26.67,81,23,0.52,CR,1715081509
335,praia da vitoria,38.7333,-27.0667,20.14,83,40,7.79,PT,1715081509
336,aoulef,26.9667,1.0833,39.5,6,1,5.72,DZ,1715081509
337,lillehammer,61.1146,10.4674,12.42,75,100,1.1,NO,1715081509
338,bochum,51.4833,7.2167,19.79,66,97,2.49,DE,1715081235
339,oak grove,45.4168,-122.6401,7.72,90,100,2.24,US,1715081283
340,dudinka,69.4058,86.1778,-5.21,95,100,3.06,RU,1715081510
341,gandajika,-6.75,23.95,33.12,33,12,2.24,CD,1715081510
342,douentza,14.9951,-2.9517,38.47,22,100,1.49,ML,1715081510
343,ocos,14.5094,-92.1933,25.1,82,84,3.59,GT,1715081510
344,zuyevka,58.405,51.1335,6.54,40,95,2.88,RU,1715081510
345,nouadhibou,20.931,-17.0347,27.99,44,90,4.63,MR,1715081382
346,wiwili,13.6268,-85.8254,23.78,84,94,0.67,NI,1715081511
347,kristiansund,63.1115,7.732,11.03,93,75,4.12,NO,1715081511
348,popondetta,-8.7537,148.2534,24.29,97,100,0.26,PG,1715081511
349,haiku-pauwela,20.9219,-156.3051,22.8,77,0,5.14,US,1715081511
350,sirte,31.2089,16.5887,28.16,32,100,7.26,LY,1715081511
351,hirara,24.8,125.2833,24.92,78,75,5.66,JP,1715081511
352,cunen,15.3375,-91.0269,12.66,58,62,1.9,GT,1715081512
353,puerto armuelles,8.2833,-82.8667,27.27,72,32,0.45,PA,1715081512
354,sabha,27.0377,14.4283,35.18,13,9,7.8,LY,1715081512
355,ellensburg,46.9965,-120.5479,5.61,75,0,7.72,US,1715081512
356,pestravka,52.405,49.9583,22.87,44,71,9.65,RU,1715081512
357,nizhnesortymskiy,62.4397,71.7603,2.12,100,100,3.99,RU,1715081512
358,wajir,1.7471,40.0573,32.98,55,75,4.12,KE,1715081512
359,prado,-17.3411,-39.2208,26.65,83,15,3.33,BR,1715081512
360,monrovia,6.3005,-10.7969,31.87,66,96,1.23,LR,1715081512
361,malangawa,26.8568,85.5581,31.65,38,65,7.63,NP,1715081513
